"species","owner","country_of_origin","farm_name","mill","company","region","producer","grading_date","owner_1","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","total_cup_points","moisture","category_one_defects","quakers","color","category_two_defects","altitude_low_meters","altitude_high_meters","altitude_mean_meters"
"Arabica","lusso lab","Kenya","kianjavi","","lusso coffee lab","kiambu","",2014-02-06,"LUSSO LAB","SL28","Washed / Wet",7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,"Green",1,1520,2200,1860
"Arabica","afca","Uganda","","","kawacom uganda ltd","sipi, mt elgon","Kawacom",2012-02-13,"AFCA","Other","Washed / Wet",8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,"Blue-Green",0,1400,1900,1650
"Arabica","ethiopia commodity exchange","Ethiopia","contact | sidacoop@ethionet.net","coffee processing and warehouse enterpri","","sidamo","Sidama Coffee Farmers Coop. Union",2010-06-17,"Ethiopia Commodity Exchange","","",7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0,"",4,1500,2000,1750
"Arabica","grounds for health admin","United States (Hawaii)","hula daddy kona coffee","","","kona","Hula Daddy Kona Coffee",2010-05-31,"Grounds for Health Admin","","",8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,"",0,426.72,426.72,426.72
"Arabica","juan luis alvarado romero","Guatemala","la esperanza y anexos","beneficio ixchel","unex guatemala, s.a.","nuevo oriente","MARGARITA AVILA DE NUYENS",2016-05-16,"Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,"Green",3,NA,NA,NA
"Arabica","kawacom uganda ltd","Uganda","sipi organic coffee project","kawacom","kawacom uganda ltd","eastern","Kawacom (U)Ltd",2014-06-30,"Kawacom Uganda LTD","SL14","Natural / Dry",8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,"Green",0,1400,1900,1650
"Arabica","exportadora de cafe condor s.a","Colombia","","trilladora boananza","exportadora de cafe condor s.a","huila","",2013-07-26,"Exportadora de Cafe Condor S.A","Caturra","Washed / Wet",8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,"Blue-Green",0,1800,1800,1800
"Arabica","gonzalo hernandez","Panama","la berlina estate","beneficio casa ruiz s.a.","ce specialty s.a.","boquete","Plinio Ruiz",2017-10-09,"Gonzalo Hernandez","Gesha","Washed / Wet",8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,"Bluish-Green",0,1600,1600,1600
"Arabica","ibrahim hussien speciality coffee producer &export","Ethiopia","","burka gudina","ibrahim hussien specality coffee product & exporter","oromia","Ibrahim Hussien Specialty Coffee Producer and Exporter",2015-04-04,"Ibrahim Hussien Speciality Coffee Producer &Export","","Washed / Wet",7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,"Green",4,1800,2000,1900
"Arabica","juan luis alvarado romero","Guatemala","valparaiso","beneficio valparaiso","sertrasa","acatenango","SERTRASA",2012-07-03,"Juan Luis Alvarado Romero","Bourbon","Washed / Wet",7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,"Green",3,1524,1524,1524
"Arabica","juan luis alvarado romero","Guatemala","finca el limon","beneficio serben","unicafe","nuevo oriente","WILLIAM ESTUARDO MARTINEZ PACHECO",2012-06-05,"Juan Luis Alvarado Romero","Catuai","Washed / Wet",8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,"Bluish-Green",1,1417.32,1417.32,1417.32
"Arabica","seid damtew coffee planataion","Ethiopia","seid damtew coffee planation","seid damtew coffee export and plantation","seid damtew coffee planation","addis ababa","seid damtew coffee export and plantation",2017-06-23,"SEID DAMTEW COFFEE PLANATAION","Caturra","Natural / Dry",7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,"None",7,NA,NA,NA
"Arabica","dane loraas","Peru","","","sustainable harvest","cajamarca","",2014-01-22,"Dane Loraas","","Washed / Wet",8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,"Green",6,NA,NA,NA
"Arabica","colbran coffeelands, ltd.","Papua New Guinea","tairora cherry – bonta","baroida","cqi","eastern highlands province","Colbran CoffeeLands, Ltd.",2012-10-25,"Colbran Coffeelands, Ltd.","","Washed / Wet",8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,"Bluish-Green",1,1700,1700,1700
"Arabica","atlantic specialty coffee","El Salvador","el majahual","j. hill y cia","atlantic specialty coffee","apaneca","Aida Batlle",2013-03-18,"Atlantic Specialty Coffee","Bourbon","Washed / Wet",7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,"Blue-Green",3,1500,1500,1500
"Arabica","lusso lab","El Salvador","finca la esmeralda","aqua caliente, j.j. borja nathan. s.a","lusso coffee lab","ataco, apaneca - ilamatepec mountain range","Oscar Roberto Murgas Linares",2013-01-12,"LUSSO LAB","Bourbon","Semi-washed / Semi-pulped",7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,"None",0,1300,1400,1350
"Arabica","kona pacific farmers cooperative","United States (Hawaii)","","","kona pacific farmers cooperative","kona","",2012-04-06,"Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry",7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,"",1,NA,NA,NA
"Arabica","essencecoffee","Panama","elida estate","elida estate","essence coffee","boquete","Lamastus",2015-05-23,"EssenceCoffee","Caturra","Natural / Dry",8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,"",2,1680,1680,1680
"Arabica","essencecoffee","Kenya","inoi","inoi","essence coffee","kirinyaga","",2015-05-23,"EssenceCoffee","SL28","Natural / Dry",7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,"Green",3,1900,1900,1900
"Arabica","assefa belay coffee producer","Ethiopia","","","assefa belay coffee producer","oromia","Assefa Belay Coffee Producer",2015-03-31,"Assefa Belay Coffee Producer","Other","Natural / Dry",7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,"Green",7,1800,2000,1900
"Arabica","kyagalanyi ltd","Uganda","buginyanya","kyagalanyi coffee ltd","kyagalanyi coffee ltd","bulambuli eastern region","Kyagalanyi coffee Ltd",2014-06-26,"Kyagalanyi Ltd","SL14","Washed / Wet",8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,"Green",1,1600,1600,1600
"Arabica","juan luis alvarado romero","Guatemala","asoperc","beneficio exportacafe agua santa","exportcafe","huehuetenango","ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA)",2013-02-26,"Juan Luis Alvarado Romero","Bourbon","Washed / Wet",8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,"Green",1,1706.88,1755.648,1731.264
"Arabica","assefa belay coffee producer","Ethiopia","","","assefa belay coffee producer","oromia","Assefa Belay Coffee Producer",2015-03-31,"Assefa Belay Coffee Producer","","Washed / Wet",7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,"Green",18,1800,2000,1900
"Arabica","great lakes coffee uganda","Uganda","chesiyo farmer group","great lakes coffee","great lakes coffee","kapchorwa","Chesiyo Farmer group",2014-06-26,"Great Lakes Coffee Uganda","SL14","Washed / Wet",8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,"Green",5,1950,1950,1950
"Arabica","kona pacific farmers cooperative","United States (Hawaii)","","","kona pacific farmers cooperative","kona","",2012-04-06,"Kona Pacific Farmers Cooperative","Hawaiian Kona","Natural / Dry",7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,"",6,NA,NA,NA
"Arabica","nucoffee","Brazil","fazenda serra de três barras","","nucoffee","south of minas","José Vagner Ribeiro Junqueira",2011-12-03,"NUCOFFEE","Bourbon","Semi-washed / Semi-pulped",8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,"Blue-Green",1,1250,1250,1250
"Arabica","grounds for health admin","El Salvador","sierra nevada","beneficio las tres puertas","","apaneca","J. Hill y Cia SA de CV",2010-05-31,"Grounds for Health Admin","","",8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,"",0,1400,1400,1400
"Arabica","yunnan coffee exchange","China","pu'er city longke coffee co.ltd","pu'er city longke coffee co.ltd","yunnan coffee exchange","yunnan","Pu'er City Longke Coffee Co.Ltd",2016-04-06,"Yunnan Coffee Exchange","Catimor","Natural / Dry",8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,"Green",0,1700,1700,1700
"Arabica","essencecoffee","Guatemala","el injerto s.a.","el injerto s.a.","essence coffee","huehuetenango","Arturo Aguirre",2015-05-23,"EssenceCoffee","Pacamara","Natural / Dry",7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,"Green",1,1770,1770,1770
"Arabica","the coffee source inc.","Costa Rica","several","cafe altura de san ramon","the coffee source inc.","west valley","Cafe Altura de San Ramon",2014-05-01,"The Coffee Source Inc.","Caturra","Washed / Wet",7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,"Bluish-Green",0,1300,1300,1300
"Arabica","the coffee source inc.","Costa Rica","several","cafe altura de san ramon","the coffee source inc.","san ramon","SEVERAL",2014-05-01,"The Coffee Source Inc.","Caturra","Washed / Wet",8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,"Bluish-Green",2,1300,1300,1300
"Arabica","rashid moledina & co. (msa) ltd.","Kenya","","","rashid moledina & co. (msa) ltd","central kenya","Kianjogu - Rutuma F.C.S. Ltd.",2013-04-19,"RASHID MOLEDINA & CO. (MSA) LTD.","SL34","Washed / Wet",7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,"Green",2,1600,1600,1600
"Arabica","ibero kenya limited","Kenya","","nkg/ck/hc/ss/kccm","ibero kenya limited","central kenya","Blend from various Producers",2013-03-12,"Ibero Kenya Limited","SL34","Washed / Wet",8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,"Green",6,1200,1200,1200
"Arabica","ethiopia commodity exchange","Ethiopia","phone number | 0911-513824 email: gmt.ft","","","yirgacheffe","Contact name | Egziabhez Mezgebe, GMT Industrial Plc",2010-06-17,"Ethiopia Commodity Exchange","","",7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0,"",2,NA,NA,NA
"Arabica","ethiopia commodity exchange","Ethiopia","","","","yirgacheffe","Contact name | Hailu Gebre Hiwot",2010-06-17,"Ethiopia Commodity Exchange","Typica","",7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0,"",3,NA,NA,NA
"Arabica","juan luis alvarado romero","Guatemala","la esperanza y anexos","beneficio ixchel","unex guatemala, s.a.","oriente","MARGARITA AVILA DE NUYENS",2016-04-27,"Juan Luis Alvarado Romero","Bourbon","",8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,"Green",2,NA,NA,NA
"Arabica","exportadora de cafe condor s.a","Colombia","various","trilladora agricola","exportadora de cafe condor s.a","santander","varios",2015-04-08,"Exportadora de Cafe Condor S.A","Caturra","Washed / Wet",8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,"Green",0,1550,1550,1550
"Arabica","compañia colombiana agroindustrial s.a","Colombia","","trilladora boananza","ecom cca sa","santander","",2014-01-17,"Compañia Colombiana Agroindustrial S.A","Caturra","Natural / Dry",7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,"Green",2,1550,1550,1550
"Arabica","nomura trading co., ltd.","Indonesia","","","nomura trading co., ltd.","lintong","",2012-11-26,"Nomura Trading Co., Ltd.","Sumatra Lintong","Semi-washed / Semi-pulped",7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,"Green",3,1250,1400,1325
"Arabica","the coffee source inc.","Guatemala","coop. hoja blanca - fedecocagua","coop. hoja blanca - fedecocagua","the coffee source inc.","huehuetenango","Coop. Hoja Blanca - Fedecocagua",2012-01-18,"The Coffee Source Inc.","Caturra","Washed / Wet",8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,"",7,1400,1400,1400
"Arabica","seid damtew coffee planataion","Ethiopia","seid damtew coffee planation","at site and addis ababa","seid damtew coffee planation","kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.","SEID DAMTEW COFFEE PLANATION",2016-08-09,"SEID DAMTEW COFFEE PLANATAION","Other","Natural / Dry",7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,"Green",8,NA,NA,NA
"Arabica","carcafe ltda ci","Colombia","","pasto","carcafe ltda","pasto","JOSE ALBEIRO GOMEZ / LUIS JABER REALPE",2015-08-18,"CARCAFE LTDA CI","Caturra","Natural / Dry",8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0,"",0,2560,2560,2560
